semester,course,units,grade
100L First,MTH101,3,z
100L First,PHY101,,B
100L First,CHM101,3,C
100L First,GST101,2,A
100L First,CSC101,2,B
100L First,BIO101,3,D
100L Second,MTH102,3,1
100L Second,PHY102,3,C
100L Second,CHM102,3,B
100L Second,GST102,2,A
100L Second,CSC102,2,A
100L Second,BIO102,3,F
200L First,MTH201,3,A
200L First,CSC201,3,A
200L First,STA201,3,B
200L First,GST201,2,C
200L First,PHY201,3,B
200L Second,CSC202,,B
200L Second,MTH202,3,C
200L Second,STA202,3,A
200L Second,GST202,2,B
200L Second,PHY202,3,D
200L Second,ENT202,2,A
